"Address","Amount","Date","Details"
"123 Maple Avenue, San Jose, CA 95123","$750,000","May 5, 2022","Single-family home with 3 bedrooms, 2 bathrooms, and a spacious backyard. The property featured a newly renovated kitchen and a desirable neighborhood close to parks and schools."
"456 Oak Street, San Jose, CA 95112","$1,200,000","June 17, 2022","Historic Victorian-style home with 4 bedrooms, 3.5 bathrooms, and charming architectural features. The property boasted a grand staircase, original hardwood floors, and a well-maintained garden."
"789 Pine Avenue, San Jose, CA 95134","$1,800,000","July 22, 2022","Modern townhouse with 4 bedrooms, 3 bathrooms, and a rooftop terrace with panoramic city views. The property was located in a vibrant neighborhood known for its proximity to tech companies and trendy restaurants."
"321 Elm Street, San Jose, CA 95116","$550,000","August 10, 2022","Cozy condo with 2 bedrooms, 1 bathroom, and an open floor plan. The property included updated appliances, a community swimming pool, and was conveniently located near public transportation."
"987 Willow Avenue, San Jose, CA 95125","$1,350,000","September 5, 2022","Craftsman-style single-family home with 3 bedrooms, 2.5 bathrooms, and a detached guest house. The property showcased original architectural details, a spacious backyard, and a highly desirable location near downtown."
"543 Cedar Lane, San Jose, CA 95136","$680,000","October 15, 2022","A charming single-family home with 3 bedrooms, 2 bathrooms, and a well-maintained backyard. The property featured a remodeled kitchen, a cozy fireplace, and a quiet neighborhood near local parks."
"456 Oakwood Avenue, San Jose, CA 95136","$1,500,000","February 7, 2023","A custom-built single-family home with 5 bedrooms, 4 bathrooms, and a private backyard. The property showcased high-end finishes, a gourmet kitchen, and stunning views of the surrounding hills."
"789 Elmwood Court, San Jose, CA 95128","$520,000","May 5, 2023","Recently renovated condo with 2 bedrooms, 1 bathroom, and an open floor plan. The property offered new appliances, a community clubhouse, and easy access to highways and shopping centers."
"210 Pinehurst Drive, San Jose, CA 95128","$1,800,000","June 17, 2023","Spacious single-family home with 4 bedrooms, 3.5 bathrooms, and a landscaped backyard. The property featured high ceilings, a wine cellar, and was located in a prestigious neighborhood."
"456 Cherry Avenue, San Jose, CA 95136","$680,000","July 22, 2023","A well-maintained townhouse with 3 bedrooms, 2.5 bathrooms, and a private patio. The property featured an updated kitchen, a cozy fireplace, and was nestled in a quiet community with nearby parks."
"987 Cedar Lane, San Jose, CA 95128","$950,000","August 10, 2023","A spacious single-family home with 4 bedrooms, 3 bathrooms, and a backyard ideal for entertaining. The property included a remodeled kitchen, a dedicated home office, and easy access to shopping and dining options."
"321 Juniper Street, San Jose, CA 95117","$1,200,000","September 5, 2023","Newly constructed townhouse with 3 bedrooms, 2.5 bathrooms, and a rooftop deck. The property boasted modern architecture, high-end finishes, and a prime location near tech companies and major transportation routes."
"543 Pinecrest Avenue, San Jose, CA 95123","$820,000","October 15, 2023","A charming single-family home with 3 bedrooms, 2 bathrooms, and a spacious backyard. The property featured a remodeled kitchen, a cozy fireplace, and a quiet neighborhood near local parks."
"789 Oak Street, San Jose, CA 95128","$1,150,000","November 3, 2023","Modern townhouse with 4 bedrooms, 3.5 bathrooms, and an attached garage. The property showcased open-concept living, high ceilings, and proximity to vibrant downtown attractions."
"210 Walnut Grove Road, San Jose, CA 95123","$680,000","December 12, 2023","Cozy condo with 2 bedrooms, 1 bathroom, and access to community amenities. The property offered updated interiors, a private balcony, and convenient access to shopping centers and major freeways."
"234 Willowbrook Drive, San Jose, CA 95129","$1,100,000","January 21, 2024","Modern townhouse with 3 bedrooms, 2.5 bathrooms, and a private balcony. The property featured an open floor plan, high ceilings, and was located in a desirable neighborhood near schools and shopping centers."
"678 Elmwood Court, San Jose, CA 95128","$780,000","February 14, 2024","Charming single-family home with 2 bedrooms, 1 bathroom, and a well-maintained backyard. The property offered a renovated kitchen, a detached garage, and was situated in a quiet cul-de-sac."
"345 Oak Street, San Jose, CA 95112","$1,650,000","March 7, 2024","Historic Victorian home with 5 bedrooms, 4 bathrooms, and a wrap-around porch. The property showcased original architectural details, elegant interiors, and was located in a coveted downtown neighborhood."
"901 Pinecrest Avenue, San Jose, CA 95123","$950,000","April 18, 2024","Spacious single-family home with 4 bedrooms, 3.5 bathrooms, and a backyard oasis with a swimming pool. The property featured a gourmet kitchen, a media room, and was ideal for entertaining."
"567 Cherry Avenue, San Jose, CA 95136","$680,000","May 9, 2024","A cozy townhouse with 3 bedrooms, 2.5 bathrooms, and a private patio. The property boasted an updated kitchen, a fireplace, and was conveniently located near schools, parks, and freeways."
"890 Oakwood Avenue, San Jose, CA 95136","$1,250,000","June 2, 2024","Contemporary single-family home with 4 bedrooms, 3 bathrooms, and a rooftop deck with city views. The property offered sleek finishes, an open-concept layout, and was situated in a vibrant neighborhood."
"123 Cedar Lane, San Jose, CA 95136","$570,000","July 15, 2024","A charming condo with 2 bedrooms, 2 bathrooms, and an open floor plan. The property featured updated interiors, a balcony, and was conveniently located near shopping centers and public transportation."
"456 Oakhurst Drive, San Jose, CA 95128","$1,450,000","August 9, 2024","Elegant single-family home with 5 bedrooms, 4.5 bathrooms, and a backyard with a built-in barbecue area. The property showcased high-end finishes, a gourmet kitchen, and was nestled in a prestigious community."
"789 Juniper Street, San Jose, CA 95117","$810,000","September 22, 2024","A townhouse with 3 bedrooms, 2.5 bathrooms, and an attached garage. The property offered an open-concept layout, updated appliances, and was located near schools, parks, and major tech companies."
"234 Pinehurst Drive, San Jose, CA 95128","$1,100,000","October 7, 2024","A spacious single-family home with 4 bedrooms, 3 bathrooms, and a landscaped backyard. The property featured a gourmet kitchen, a master suite with a walk-in closet, and was situated in a quiet neighborhood."
"678 Cherry Avenue, San Jose, CA 95136","$780,000","November 18, 2024","Cozy condo with 2 bedrooms, 1 bathroom, and a private balcony. The property offered an updated kitchen, community amenities including a swimming pool, and was conveniently located near shopping and dining options."
"345 Cedarwood Lane, San Jose, CA 95128","$1,650,000","December 5, 2024","A luxurious single-family home with 5 bedrooms, 4.5 bathrooms, and a backyard retreat with a pool and spa. The property showcased high ceilings, custom finishes, and was nestled in an exclusive gated community."
"901 Oak Street, San Jose, CA 95112","$950,000","January 17, 2025","Historic Victorian-style home with 4 bedrooms, 3.5 bathrooms, and a charming front porch. The property featured original architectural details, a remodeled kitchen, and was located in a desirable downtown neighborhood."
"567 Pinecrest Avenue, San Jose, CA 95123","$680,000","February 8, 2025","A well-maintained townhouse with 3 bedrooms, 2.5 bathrooms, and a private patio. The property boasted an open floor plan, updated appliances, and was situated in a family-friendly community with amenities."
"890 Oakwood Court, San Jose, CA 95136","$1,250,000","March 19, 2025","Contemporary single-family home with 4 bedrooms, 3 bathrooms, and a backyard oasis with a swimming pool. The property offered sleek finishes, an open-concept layout, and was situated in a vibrant neighborhood."
"123 Cedar Grove Road, San Jose, CA 95136","$570,000","April 9, 2025","A cozy condo with 2 bedrooms, 2 bathrooms, and an open floor plan. The property featured updated interiors, a balcony, and was conveniently located near shopping centers and public transportation."
"456 Oakhurst Drive, San Jose, CA 95128","$1,450,000","May 21, 2025","Elegant single-family home with 5 bedrooms, 4.5 bathrooms, and a backyard with a built-in barbecue area. The property showcased high-end finishes, a gourmet kitchen, and was nestled in a prestigious community."
"789 Juniper Street, San Jose, CA 95117","$810,000","June 7, 2025","A townhouse with 3 bedrooms, 2.5 bathrooms, and an attached garage. The property offered an open-concept layout, updated appliances, and was located near schools, parks, and major tech companies."
"234 Pinehurst Drive, San Jose, CA 95128","$1,100,000","July 19, 2025","A spacious single-family home with 4 bedrooms, 3 bathrooms, and a landscaped backyard. The property featured a gourmet kitchen, a master suite with a walk-in closet, and was situated in a quiet neighborhood."
"678 Cherry Avenue, San Jose, CA 95136","$780,000","August 6, 2025","Cozy condo with 2 bedrooms, 1 bathroom, and a private balcony. The property offered an updated kitchen, community amenities including a swimming pool, and was conveniently located near shopping and dining options."
"345 Oakwood Avenue, San Jose, CA 95136","$1,300,000","September 20, 2025","A modern single-family home with 4 bedrooms, 3.5 bathrooms, and a backyard retreat. The property showcased an open floor plan, high-end finishes, and was located in a sought-after neighborhood near parks and schools."
